Company Name,Title,Description,Location,Started On,Finished On
Suvidha Foundation (Suvidha Mahila Mandal),Machine Learning Engineer,"Developed and implemented machine learning models: Worked on creating predictive models using supervised and unsupervised learning techniques to solve real-world business problems. Dataset preparation: Gathered, cleaned, and transformed raw data from various sources into structured datasets suitable for analysis and modeling.",,Jun 2024,
ADSMIT MEDIA solutions,Finance Analyst,,,May 2024,Jun 2024
Coincent.ai,Vision Transformer,Enhancing Image Classification with Vision Transformers using Deep Learning,,Nov 2023,Dec 2023
Coincent.ai,Landmark Detection Using Deep Learning,Landmark Detection Using Deep Learning,,Oct 2023,Dec 2023

